,name,user_name,date,content
65,Anna ,@anna_itsonlyme,2020-09-30T17:06:50.000Z,So Ingrid Seward went on Sky News sharing details about Prince Philip’s thoughts and what he thinks about Harry and Meghan.I’m eagerly waiting for all the royal reporters and commentators raging about him collaborating with a non authorised biography .
66,Erikk_the_Dane™,@Erikk_the_Dane2,2020-09-30T19:25:20.000Z,It's the 21st century. Meghan is a self-made woman who doesn't have to kowtow to anyone esp. those racist & misogynistic vipers in the royal family. The Sussexes made the best decision of their lives when they moved to the US far away from the toxicity on that vile island.
67,Carlo Quicho,@carlos_queso_,2020-09-30T21:16:19.000Z,It’s so unfortunate when I feel like a bunch of us were really rooting for ultra-talent that was @QuinnSimmons9 to represent  on the world stage Who just ended up being racist dickhead lol
68,,@She2cool_,2020-09-30T20:22:42.000Z,"I’m just as racist as Trump I go on white poeple every mf chance I get. They lips small , they have lice , they shaped like chickens, they commit the most suicide, they not mentally strong like us, they hair smell like dog .. should I keep going ??????"
69,Dr. Ravenel Richardson,@RavenelRichard1,2020-09-30T19:19:02.000Z,"Join us for a discussion about how our healthcare systems can address the intersection of three public health crises: racism, COVID-19 and the opioid crisis. Registration is free https://cwru.zoom.us/webinar/register/WN_ohtCRoKNR6qU91unlNGAlw… @KathieKaneW @UREssien @DrMWHooper @CWRUSOM @ADAMHSBoardCC @Siegal_CWRU"
70,Erika Chappell  Maker of Plane Game,@open_sketchbook,2020-09-30T20:16:27.000Z,"jesus christ that story about Joyce Echaquan, and then the premier immediately denying that there's a problem with racism...seriously, fuck this entire stupid country."
71,Erika Chappell  Maker of Plane Game,@open_sketchbook,2020-09-30T20:24:03.000Z,i don't want to hear any fucking canadians being smug about the US right now. their racist system is broken. our racist system is working as fucking intended.
72,Saqib W Ali,@Saqib_W_Ali,2020-09-30T18:47:37.000Z,Canada likes to pretend that they're better than the US with their superior smug complex but eh they still have racism problem and there's the fact that the country was founded on land stolen from Indigenous people.
73,Tradalza Phila (She/Her/Ella),@TraduccionFila,2020-09-30T20:11:23.000Z,"Just mailed thank you cards & handwritten letters to our invaluable #Pennsylvania #voters to let them know how much weight their voices hold this #election. We need every single one of you to #vote If you’re also against injustice, racism, & corruption in the #WH, stand with us!"
74,Joe Biden,@JoeBiden,2020-09-30T01:49:00.000Z,Donald Trump is the worst president we've ever had.
75,Michael Franzese,@MichaelFranzese,2020-09-30T20:50:50.000Z,"Explain the $3.5 million wire to your son from Moscow mayor’s wife who has ties to Putin. You OWE us that?  Explain Burisma.  You OWE us that?  Explain your several racist comments. You OWE us that.  You’re a fraud, Biden.  And we know it."
76,erich kellner,@ErichKellner,2020-09-30T21:43:50.000Z,"#TheFive @TheJuanWilliams The US is the model of diversity, have you lived under a rock? Your side touted ""We are a nation of immigrants"" when defending illegal aliens.Now you claim we are racist? Gimme a break. Name one country more diverse than the US!!!"
77, 𝓒𝓪𝓻𝓪𝓶𝓮𝓵 𝓢𝔀𝓮𝓮𝓽𝓷𝓮𝓼𝓼 ,@Caramel_Angel7,2020-09-30T23:27:13.000Z,#FirstThem why u retweet this when u know #B1 / #FBA isn’t about voting for neither one of those RACIST candidates. They haven’t given us the option to do business with acceptable tangibles. No disrespect to Judge! @FirstThemNEWS@tariqnasheed
78,Shaun Chavis,@ShaunChavis,2020-09-30T23:28:34.000Z,"I've seen so many tweets declaring ""The president of the United States is a racist / white supremacist"" as if it's a shocker for this nation. Have these people forgotten that 15 of the first 18 US presidents owned slaves?"
79,Scott Walker,@swalker3111,2020-09-30T21:24:57.000Z,"Your client was ill prepared and illegally carrying a firearm he was not mature enough to wield.  He might not be a racist, only he can answer that.  But his irresponsibility could endanger us all in the carry community.  It isn’t as much a right as a privilege we must earn"
80,San Diego Loyal,@SanDiegoLoyal,2020-09-30T21:11:17.000Z,No matter the moment.No matter the trash talk.@HackworthMorgan reminds us all there's no place for racist remarks.#BlackLivesMatter
81,Deramin,@otdderamin,2020-09-30T19:18:42.000Z,"I love that at the beginning of the campaign Matt leveraged fantasy racism to color our perceptions and help us buy into the propaganda unthinkingly so he could upend it and really make us question who the ""bad guys"" are. Really shows how he's reflected on his earlier work."
82,Moani,@MoaniAndresen,2020-09-30T21:19:57.000Z,Why are people outside of the US trying to give me their opinions on US politics? Focus on your own country's racism my cuzzie.
83,Julie Ward MEP 2014-2020,@julie4north,2020-09-30T19:12:29.000Z,"Being able to honour our dead, lay them to rest and grieve is important for all of us. But in Turkey racism targeted against Kurds violates the dead#KurdishLivesMatter"
84,Chad Geter,@ChadGeter,2020-09-30T22:45:06.000Z,Weather getting a little chilly? @tlamb9 is still standing with us against racism! Don’t let the cold weather stop you from being the change and challenging racism. Appreciate the support!
85,Mexican American School Boards Association,@MASBATX,2020-09-30T22:33:06.000Z,We're live! Spread the word & join us on the mainstage of the @TASATASB convention for a conversation on school board members' perspectives on #race & #racism with @JARamos_Jr & @TyGJones! #AsiDerechito #SayItLOUD!
86,DG1,@VerdiGg,2020-09-30T23:08:19.000Z,Absolutely! One can understand ransom-held Germany 'pulling' the EU cart in favour of apartheid & racist Israel. But the UK (in 1946) & the US (in 1967) were both 'deliberately' attacked by Israel: how on earth can they still support her to this day?
87,David Benjamin,@DavidManOnFire,2020-09-30T18:36:32.000Z,"Blaming Trump for American racism is TOO EASY. It is ""us.""I would strongly urge you to watchone of the finest commentaries on US racism.--> Eddie Glaude.cc: @esglaude @glennkirschner2@ericgarland @HalSparks@dbishop4152 @bywillpollockhttps://youtu.be/QKiB0APdxToWatch Here"
88,ⓈⒶⓅⓅⒽⒾⓇⒺ,@sapphiresdust,2020-09-30T12:00:24.000Z,I hugged my husband last night and told him I am scared. He hugged me back and said he’ll always protect me.I hate that I’m scared to live in the country I fell in love with.  I hate that the president hates people like me... White supremacy has real consequences. Vote him out.
89,Michelle,@silkie_izzy,2020-09-30T18:41:44.000Z,"Your tweet broke my heart. I’m sorry you’re afraid, we will fix this, we will face the racism that’s ripping us apart finally. Stay strong you aren’t alone, we must all vote. Sending you love and strength"
90,"dr pja, attorney against law",@PJAxemurderer,2020-09-30T19:02:32.000Z,"of every person alive in the US at the start of 2020 one out of every 1,800 have died of coronavirus, this is a tragedyblack americans are 80% more likely to have died than average and almost twice as likely as a white person, this is racism"
91,Tanisha E.,@Tanisha_Ev,2020-09-30T19:05:53.000Z,"Gavin McInnes, who cofounded Vice with a person of Pakistani descent also founded Proud Boys, a racist, misogynistic organization sweeping across the US and Canada. Goes to show, racists are your neighbors, friends, and coworkers."
92,David Lametti,@DavidLametti,2020-09-30T18:49:23.000Z,That includes implementing the United Nations Declaration on the Rights of Indigenous People and passing the legislation declaring a National Day for Truth and Reconciliation.
93,David Lametti,@DavidLametti,2020-09-30T18:49:25.000Z,"It also means taking concrete action to address systemic racism and ensure that justice is delivered fairly for all Canadians. Every child matters. We do not have the power to change our history, but together we can build a better, more just future for us all."
94,Weber State University,@WeberStateU,2020-09-30T19:16:34.000Z,"Join us Thursday and Friday for our 22nd Annual Diversity Conference!The event will be held via Zoom and explore issues surrounding systemic racism and human connections. For more information about the conference and a full calendar of events, visit http://weber.edu/diversity/diversityconference…."
95,Dr. Dina McMillan,@drdina1,2020-09-30T22:33:39.000Z,"Key Tip: Do you know what’s at the root of bias, negative stereotypes, even racism? A perception in our minds of ‘Us’ and ‘Them’. As a natural cognitive process, our brains prioritise ‘Us’. Anything that ramps up those perceptions is going to increase bias as a result. Got it?"
96,Emily Cleffi-Tristani,@EmilyCleffiT,2020-09-30T22:00:27.000Z,"Following last night’s tumultuous debate, Brookings President John R. Allen urges us to focus on three core issues: 1) the threat of emboldened white supremacy, 2) election security & potential for political violence 3) education on structural racism."
97,Sen. Mike Fanning,@FanningforSC,2020-09-30T22:23:02.000Z,“The status quo will never get us where we need to go!” RockHill Mayor John Gettys challenged fired-up crowd 2 “never forget from where we’ve come.” But “continue working together to build a world our children deserve.” Dedication of “No Room for Racism” mural on Rock Hill street
98,Kat Armas,@kat_armas,2020-09-30T19:45:26.000Z,"“Don’t pity us. Just treat us right.”It’s #InternationalPodcastDay and the day after the debate so naturally, I had to drop the second part of my conversation with @thearmchaircomWe talk about anti-racist work as spiritual formation and whole bunch of other  things. Enjoy!"
99," DJ Alma Donatella, B.A. - VISIT AMINAFIT.COM",@TheSydneyA,2020-09-30T18:09:36.000Z,Oh but didn’t Bernie Sanders and Brieyonawa Ja Rule say that a health care system like Canadas would be the only thing I as a Black Woman needed to absolve all the racism ive faced in the US since birth  im confused
100,Georgina (Gigi) Kiersten,@authorgeorginak,2020-09-30T19:25:09.000Z,"There is very few black authors writing black LGBTQ romance full time. I am talking about *minuscule*.  The reason why is bc mainstream LGBTQ romance pub does not give one shit about us, does zero outreach or marketing to us, and are actively racist against us."
101,Christian Christensen,@ChrChristensen,2020-09-30T18:53:38.000Z,"Despite their faux public hand-wringing over Trump, US/Euro media continue to normalize his racist and anti-democratic rhetoric. This time, focusing on the tone of the debates rather than Trump’s embrace of racism and his spreading disinformation about the US electoral system."
102,Stephanie Guerilus,@qsteph,2020-09-30T19:05:02.000Z,"Thank you Ingrid Seward for confirming Old man Phil waves the racist flag for the ""Whites Only"" British Royal Family and expects obedience. Not that most of us needed confirmation but it's good to have it as a matter of public record."
103,Lisa Lucas,@likaluca,2020-09-30T20:52:06.000Z,"Who needs the proud boys he's never heard of when you have law enforcement keeping us in our place? Either way, you are talking about dirty, shameful, racist work."
104,Bailey Steinworth,@baileys,2020-09-30T23:11:08.000Z,Felon disenfranchisement is such a huge form of voter suppression. A lot of countries let people *in prison* vote. Combine that with the racism of the US criminal “justice” system... Anyway if this is news to you read The New Jim Crow by Michelle Alexander.
105,Lily Olsen ,@lilyolsenTO,2020-09-30T22:10:13.000Z,"Looking at everyone who claims we aren’t as bad as the US, and “there’s no racism in Canada”"
106,Benjamin Neel,@DrBenNeel,2020-09-30T21:36:56.000Z,"Let there be no mistake, no uncertainty, no error: the PRESIDENT of the US is an unapologetic racist and white supremacist. Given multiple opportunities to explicitly deny these elemental facts and reject white supremacy, he dodges and demurs. He is what he is and always will be!"
107,David Owens II,@owensd,2020-09-30T20:00:07.000Z,"We didn’t. We were taught that “Nazis were bad” and that “we (the US) were the good guys that won the war”. Schools didn’t teach about the lead up to the war, the societal or economics climate pre-war, etc.Just like how “racism ended” after the civil rights movement."
108,Emily Pothast,@emilypothast,2020-09-30T18:54:49.000Z,Basically everyone left of the far right in the US is engaged in a struggle between the desire to watch an illegitimate empire burn and a desire to prevent the consolidation of what remains of its power in the hands of an openly racist and authoritarian one-party regime.
109, Peter Wallace,@PeterWallaceAU,2020-09-30T21:22:22.000Z,"There has been a significant reduction in overt racism in Australia and the US over the last 50 years, from the 70s to now, to the extent that I once believed we were largely in a post racism era (not so much now). What was the cause of that change? Analysis anyone?"
110,Joshua Collins,@InvisiblesMuros,2020-09-30T23:00:42.000Z,"The government utilizing lies with racist or xenophobic origins to discredit protests is nothing new in the US, nor is trying to incite moral panicRecent refrains of ""Thugs"" ""Looters"" and ""Antif"" are part of a long tradition of such tactics"
111,Prashant Phalpher,@PhalpherMD,2020-09-30T20:08:18.000Z,Big thanks to @DamonTweedyMD for sharing his wisdom and experience on racism in healthcare with us @OslerHealth book club. Great questions and engagement from our staff. Thanks to @DrMohammadOsler for kicking off the discussion and @dr_jhandler for organizing.
112,HawaiiDelilah™,@HawaiiDelilah,2020-09-30T21:34:35.000Z,Thillis is eager to do apologia for the very racist president. North Carolina:  Cal Cunningham will be an upgrade not just for your state but for the entire country.  Please defeat him & do us all a solid.
113,Caoimhe Haughey,@CaoimheHaughey1,2020-09-30T19:46:43.000Z,"Having watched the US Presidential debates 2016 & 2020 (thus far),my view of @POTUS  A misogynist;A perpetrator of abuse; A bully;A bigot;A racist; A boor;A tax cheat; And some adjectives Perfidious;Narcissistic;Bombastic;Ignorant; Untrustworthy;Feel free to add"
114,Hawaii GOP,@gophawaii,2020-09-30T19:27:04.000Z,"""Racist""?Subsidized abortions from the time of Margret Sanger was meant to control population growth of minorities in the US.Since the passage of Roe vs. Wade almost 20,000,000 black American babies have been aborted.That's a genocide of black Americans."
115,Feodor Chin ,@FeoChin,2020-09-30T22:35:59.000Z,"Listen. While you white supremacists stand back and stand by, the rest of us real Americans are gonna stand up and take back our country from you racist sacks of shit.#VOTE #AmericaOrTrump #ShutUpMan #TrumpIsARacist #BidenHarris2020 #Resist"
116,Ronan L Tynan,@RonanLTynan,2020-09-30T23:02:07.000Z,"Who are #Trump’s new best friends the racist Proud Boys? Far Right Neo-Fascist male-only fraternal organization based in  #US with a presence in #Australia, #Canada & #UK actively engaged in violence - refusing to condemn them & all #WhiteSupremacists makes Trump a racist #racism"
117,Megan Ranney MD MPH ,@meganranney,2020-09-30T21:00:26.000Z,"#racism in #healthcare is pervasive & insidious...but imagine, if there were no video evidence, whether it would be revealed. I invite us all to read this article; ponder when & where we have tolerated/been part of the problem; and commit to frank #antiracism in the future."
118,timberwraith,@timberwraith,2020-09-30T18:42:54.000Z,"I just want to remind people that when the chattering class and politicians in the US say ""working class"" they nearly always mean ""white working class"" to the exclusion of everyone else.The same was true for ""middle class"" in the 1990s.Same racist bullshit, different decade."
